doc_id,month,filing_period,vendor_name,vendor_gstin,vendor_type,vendor_reliability,invoice_date,taxable_value,gst_rate_pct,books_igst,gstr2b_igst,difference,mismatch_type,itc_eligible,itc_at_risk,status
GST-020001,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,202187.6,18,36393.77,36393.77,0.0,None,36393.77,0.0,Reconciled
GST-020002,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,155684.74,18,28023.25,28023.25,0.0,None,28023.25,0.0,Reconciled
GST-020003,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,38494.11,18,6928.94,6928.94,0.0,None,6928.94,0.0,Reconciled
GST-020004,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,156262.03,28,43753.37,43753.37,0.0,None,43753.37,0.0,Reconciled
GST-020005,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,28256.72,28,7911.88,7911.88,0.0,None,7911.88,0.0,Reconciled
GST-020006,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,64899.69,28,18171.91,18171.91,0.0,None,18171.91,0.0,Reconciled
GST-020007,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,160108.15,12,19212.98,19212.98,0.0,None,19212.98,0.0,Reconciled
GST-020008,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,116507.08,5,5825.35,5825.35,0.0,None,5825.35,0.0,Reconciled
GST-020009,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,108967.33,28,30510.85,30510.85,0.0,None,30510.85,0.0,Reconciled
GST-020010,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,101095.03,12,12131.4,13784.76,1653.36,Excess in 2B,12131.4,0.0,Mismatch
GST-020011,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,246059.26,5,12302.96,13150.95,847.99,Excess in 2B,12302.96,0.0,Mismatch
GST-020012,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,30287.12,28,8480.39,8480.39,0.0,None,8480.39,0.0,Reconciled
GST-020013,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,147372.73,12,17684.73,17684.73,0.0,None,17684.73,0.0,Reconciled
GST-020014,2022-04,Apr-2022,Vendor A - RawProtein Co,27AABCU9603R1ZX,Regular,0.88,2022-04-01,37952.95,28,10626.83,10626.83,0.0,None,10626.83,0.0,Reconciled
GST-020015,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,43678.99,5,2183.95,2183.95,0.0,None,2183.95,0.0,Reconciled
GST-020016,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,55740.69,5,2787.03,2787.03,0.0,None,2787.03,0.0,Reconciled
GST-020017,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,170692.74,12,20483.13,20483.13,0.0,None,20483.13,0.0,Reconciled
GST-020018,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,63866.29,28,17882.56,17882.56,0.0,None,17882.56,0.0,Reconciled
GST-020019,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,242852.39,12,29142.29,29142.29,0.0,None,29142.29,0.0,Reconciled
GST-020020,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,107860.31,28,30200.89,30200.89,0.0,None,30200.89,0.0,Reconciled
GST-020021,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,231640.45,28,64859.33,64859.33,0.0,None,64859.33,0.0,Reconciled
GST-020022,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,137396.05,12,16487.53,16487.53,0.0,None,16487.53,0.0,Reconciled
GST-020023,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,106339.16,12,12760.7,12760.7,0.0,None,12760.7,0.0,Reconciled
GST-020024,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,152886.52,5,7644.33,7644.33,0.0,None,7644.33,0.0,Reconciled
GST-020025,2022-04,Apr-2022,Vendor B - PackagingPlus,07BBBCS9999R1ZY,Regular,0.92,2022-04-01,142533.58,5,7126.68,7126.68,0.0,None,7126.68,0.0,Reconciled
GST-020026,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,32519.4,18,5853.49,5853.49,0.0,None,5853.49,0.0,Reconciled
GST-020027,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,107797.16,28,30183.2,0.0,-30183.2,Missing in 2B,0.0,30183.2,Mismatch
GST-020028,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,181111.48,18,32600.07,32600.07,0.0,None,32600.07,0.0,Reconciled
GST-020029,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,157400.59,12,18888.07,18888.07,0.0,None,18888.07,0.0,Reconciled
GST-020030,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,42229.23,18,7601.26,7601.26,0.0,None,7601.26,0.0,Reconciled
GST-020031,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,120620.91,5,6031.05,3092.18,-2938.87,Short in 2B,3092.18,2938.87,Mismatch
GST-020032,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,186457.45,28,52208.09,52208.09,0.0,None,52208.09,0.0,Reconciled
GST-020033,2022-04,Apr-2022,Vendor C - FlavorTech,29CCCCT1234R1ZW,Regular,0.75,2022-04-01,146892.21,18,26440.6,29531.58,3090.98,Excess in 2B,26440.6,0.0,Mismatch
