snapshot_date,sku,product_name,category,warehouse,current_stock_kg,avg_daily_sales,days_no_movement,last_sale_date,lead_time_days,safety_stock,reorder_point,ideal_stock,needs_reorder,unit_cost_inr,total_value_inr,monthly_holding_cost,aging_bucket,is_dead_stock,health_score,supplier
2023-01-01,BC001,BCAA 300g,Finished Good,Bangalore WH,24,25.25,25,2022-12-07,15,189,567,757,1,1200,28800,576.0,Active (0-30d),0,91.7,SUP-10
2023-01-01,BC001,BCAA 300g,Finished Good,Delhi WH,566,27.89,0,2023-01-01,9,125,376,836,0,1200,679200,13584.0,Active (0-30d),0,14.8,SUP-01
2023-01-01,BC001,BCAA 300g,Finished Good,Mumbai WH,67,33.04,22,2022-12-10,18,297,891,991,1,1200,80400,1608.0,Active (0-30d),0,92.7,SUP-08
2023-01-01,BC001,BCAA 300g,Finished Good,Pune WH,573,24.63,12,2022-12-20,23,283,849,738,1,1200,687600,13752.0,Active (0-30d),0,8.9,SUP-04
2023-01-01,CB001,Casein Blend 1kg,Finished Good,Bangalore WH,221,19.06,35,2022-11-27,14,133,399,571,1,1600,353600,7072.0,Slow (31-60d),0,14.1,SUP-07
2023-01-01,CB001,Casein Blend 1kg,Finished Good,Delhi WH,409,1.87,107,2022-09-16,18,16,49,56,0,1600,654400,13088.0,Dead (90+d),1,0.0,SUP-02
2023-01-01,CB001,Casein Blend 1kg,Finished Good,Mumbai WH,54,16.82,13,2022-12-19,10,84,252,504,1,1600,86400,1728.0,Active (0-30d),0,87.4,SUP-02
2023-01-01,CB001,Casein Blend 1kg,Finished Good,Pune WH,271,21.72,39,2022-11-23,21,228,684,651,1,1600,433600,8672.0,Slow (31-60d),0,11.0,SUP-05
2023-01-01,CL001,Collagen Peptides 250g,Finished Good,Bangalore WH,576,21.43,5,2022-12-27,17,182,546,642,0,1450,835200,16704.0,Active (0-30d),0,9.5,SUP-10
2023-01-01,CL001,Collagen Peptides 250g,Finished Good,Delhi WH,560,27.85,35,2022-11-27,8,111,333,835,0,1450,812000,16240.0,Slow (31-60d),0,3.2,SUP-10
2023-01-01,CL001,Collagen Peptides 250g,Finished Good,Mumbai WH,115,27.38,3,2022-12-29,19,260,780,821,1,1450,166750,3335.0,Active (0-30d),0,69.8,SUP-11
2023-01-01,CL001,Collagen Peptides 250g,Finished Good,Pune WH,367,19.6,24,2022-12-08,19,186,558,587,1,1450,532150,10643.0,Active (0-30d),0,8.0,SUP-09
2023-01-01,CR001,Creatine Monohydrate,Finished Good,Bangalore WH,423,23.57,23,2022-12-09,17,200,600,707,1,800,338400,6768.0,Active (0-30d),0,9.0,SUP-01
2023-01-01,CR001,Creatine Monohydrate,Finished Good,Delhi WH,179,21.68,8,2022-12-24,22,238,715,650,1,800,143200,2864.0,Active (0-30d),0,33.5,SUP-03
2023-01-01,CR001,Creatine Monohydrate,Finished Good,Mumbai WH,591,32.44,1,2022-12-31,11,178,534,973,0,800,472800,9456.0,Active (0-30d),0,16.1,SUP-05
2023-01-01,CR001,Creatine Monohydrate,Finished Good,Pune WH,439,27.53,37,2022-11-25,22,302,907,826,1,800,351200,7024.0,Slow (31-60d),0,6.4,SUP-09
2023-01-01,EW001,Egg White Protein 1kg,Finished Good,Bangalore WH,488,1.04,152,2022-08-02,11,5,16,31,0,1900,927200,18544.0,Dead (90+d),1,0.0,SUP-04
2023-01-01,EW001,Egg White Protein 1kg,Finished Good,Delhi WH,687,1.56,159,2022-07-26,12,9,27,46,0,1900,1305300,26106.0,Dead (90+d),1,0.0,SUP-07
2023-01-01,EW001,Egg White Protein 1kg,Finished Good,Mumbai WH,691,0.66,83,2022-10-10,7,2,6,19,0,1900,1312900,26258.0,Very Slow (61-90d),0,0.0,SUP-03
2023-01-01,EW001,Egg White Protein 1kg,Finished Good,Pune WH,659,2.07,168,2022-07-17,15,15,46,62,0,1900,1252100,25042.0,Dead (90+d),1,0.0,SUP-11
2023-01-01,MG001,Mass Gainer 3kg,Finished Good,Bangalore WH,508,11.26,32,2022-11-30,14,78,235,337,0,4200,2133600,42672.0,Slow (31-60d),0,0.0,SUP-01
2023-01-01,MG001,Mass Gainer 3kg,Finished Good,Delhi WH,365,14.23,2,2022-12-30,13,92,276,426,0,4200,1533000,30660.0,Active (0-30d),0,11.0,SUP-04
2023-01-01,MG001,Mass Gainer 3kg,Finished Good,Mumbai WH,345,8.69,15,2022-12-17,10,43,129,260,0,4200,1449000,28980.0,Active (0-30d),0,0.0,SUP-03
2023-01-01,MG001,Mass Gainer 3kg,Finished Good,Pune WH,492,12.3,22,2022-12-10,13,79,238,368,0,4200,2066400,41328.0,Active (0-30d),0,0.0,SUP-10
2023-01-01,PP001,Plant Protein 1kg,Finished Good,Bangalore WH,411,41.09,34,2022-11-28,16,328,985,1232,1,1750,719250,14385.0,Slow (31-60d),0,18.6,SUP-07
2023-01-01,PP001,Plant Protein 1kg,Finished Good,Delhi WH,540,32.79,23,2022-12-09,17,278,835,983,1,1750,945000,18900.0,Active (0-30d),0,10.5,SUP-03
2023-01-01,PP001,Plant Protein 1kg,Finished Good,Mumbai WH,236,27.46,44,2022-11-18,7,96,288,823,1,1750,413000,8260.0,Slow (31-60d),0,20.1,SUP-09
2023-01-01,PP001,Plant Protein 1kg,Finished Good,Pune WH,60,42.63,27,2022-12-05,8,170,511,1278,1,1750,105000,2100.0,Active (0-30d),0,91.0,SUP-01
2023-01-01,RM001,Whey Concentrate WPC,Raw Material,Bangalore WH,417,48.44,20,2022-12-12,14,339,1017,1453,1,850,354450,7089.0,Active (0-30d),0,28.1,SUP-07
2023-01-01,RM001,Whey Concentrate WPC,Raw Material,Delhi WH,182,77.8,15,2022-12-17,10,389,1167,2334,1,850,154700,3094.0,Active (0-30d),0,95.0,SUP-01
2023-01-01,RM001,Whey Concentrate WPC,Raw Material,Mumbai WH,118,42.18,24,2022-12-08,24,506,1518,1265,1,850,100300,2006.0,Active (0-30d),0,92.0,SUP-02
2023-01-01,RM001,Whey Concentrate WPC,Raw Material,Pune WH,214,53.09,16,2022-12-16,20,530,1591,1592,1,850,181900,3638.0,Active (0-30d),0,68.7,SUP-06
2023-01-01,RM002,Casein Powder,Raw Material,Bangalore WH,211,28.53,16,2022-12-16,20,285,855,855,1,920,194120,3882.4,Active (0-30d),0,35.0,SUP-05
2023-01-01,RM002,Casein Powder,Raw Material,Delhi WH,303,17.98,32,2022-11-30,10,89,268,539,0,920,278760,5575.2,Slow (31-60d),0,7.1,SUP-03
2023-01-01,RM002,Casein Powder,Raw Material,Mumbai WH,249,21.82,44,2022-11-18,8,87,261,654,1,920,229080,4581.6,Slow (31-60d),0,11.5,SUP-05
2023-01-01,RM002,Casein Powder,Raw Material,Pune WH,537,25.27,34,2022-11-28,23,290,871,758,1,920,494040,9880.8,Slow (31-60d),0,2.8,SUP-05
2023-01-01,RM003,Soy Protein Isolate,Raw Material,Bangalore WH,735,2.44,53,2022-11-09,8,9,28,73,0,780,573300,11466.0,Slow (31-60d),0,0.0,SUP-11
2023-01-01,RM003,Soy Protein Isolate,Raw Material,Delhi WH,177,4.01,47,2022-11-15,9,18,54,120,0,780,138060,2761.2,Slow (31-60d),0,0.0,SUP-08
2023-01-01,RM003,Soy Protein Isolate,Raw Material,Mumbai WH,656,0.59,174,2022-07-11,7,2,6,17,0,780,511680,10233.6,Dead (90+d),1,0.0,SUP-03
2023-01-01,RM003,Soy Protein Isolate,Raw Material,Pune WH,539,2.95,159,2022-07-26,15,22,66,88,0,780,420420,8408.4,Dead (90+d),1,0.0,SUP-11
2023-01-01,RM004,BCAA Powder Bulk,Raw Material,Bangalore WH,340,20.18,7,2022-12-25,18,181,544,605,1,1100,374000,7480.0,Active (0-30d),0,15.4,SUP-03
2023-01-01,RM004,BCAA Powder Bulk,Raw Material,Delhi WH,427,1.35,125,2022-08-29,19,12,37,40,0,1100,469700,9394.0,Dead (90+d),1,0.0,SUP-04
2023-01-01,RM004,BCAA Powder Bulk,Raw Material,Mumbai WH,265,15.77,38,2022-11-24,9,70,211,473,0,1100,291500,5830.0,Slow (31-60d),0,5.1,SUP-02
2023-01-01,RM004,BCAA Powder Bulk,Raw Material,Pune WH,490,16.66,14,2022-12-18,23,191,574,499,1,1100,539000,10780.0,Active (0-30d),0,5.5,SUP-04
2023-01-01,RM005,Collagen Hydrolysate,Raw Material,Bangalore WH,399,3.1,76,2022-10-17,22,34,102,92,0,650,259350,5187.0,Very Slow (61-90d),0,0.0,SUP-02
