date,product,region,opening_cash,collections,payments,operating_cash_flow,capex,investments,investing_cash_flow,loans,dividends,financing_cash_flow,net_cash_flow,closing_cash
2024-04-01,Product_4,North,500000,183694,179879,3815,-49732,-8716,-58448,34886,-6265,28621,-26012,473988
2024-04-01,Product_3,East,473988,248266,147498,100768,-49131,7495,-41636,-3977,-8322,-12299,46833,520821
2024-04-01,Product_6,North,520821,80769,119735,-38966,-7433,-14689,-22122,33707,-3385,30322,-30766,490055
2024-04-02,Product_9,North,490055,236730,144478,92252,-23431,-17253,-40684,39150,-189,38961,90529,580584
2024-04-02,Product_3,West,580584,136886,126803,10083,-36551,-2088,-38639,-8606,-3556,-12162,-40718,539866
2024-04-03,Product_7,North,539866,167313,68792,98521,-48323,-9747,-58070,23001,-7513,15488,55939,595805
2024-04-03,Product_5,South,595805,204243,180174,24069,-28483,6054,-22429,28555,-775,27780,29420,625225
2024-04-03,Product_3,South,625225,115920,79457,36463,-6021,-8347,-14368,32995,-7989,25006,47101,672326
2024-04-04,Product_2,South,672326,117065,159299,-42234,-37606,9487,-28119,-8466,-7629,-16095,-86448,585878
2024-04-05,Product_9,South,585878,135591,83247,52344,-29300,-11471,-40771,-10732,-4887,-15619,-4046,581832
2024-04-05,Product_10,North,581832,219643,98044,121599,-45774,-17432,-63206,42592,-2027,40565,98958,680790
2024-04-05,Product_8,West,680790,216330,99504,116826,-38159,-6014,-44173,41858,-5892,35966,108619,789409
2024-04-06,Product_7,South,789409,184488,82662,101826,-13392,-6933,-20325,32256,-7215,25041,106542,895951
2024-04-06,Product_7,East,895951,157373,183684,-26311,-35818,-885,-36703,43335,-8154,35181,-27833,868118
2024-04-07,Product_1,East,868118,193252,199182,-5930,-18773,7266,-11507,32992,-1028,31964,14527,882645
2024-04-07,Product_10,East,882645,217982,170989,46993,-30446,3322,-27124,-19794,-5134,-24928,-5059,877586
2024-04-07,Product_10,South,877586,103419,110015,-6596,-46523,1500,-45023,-1859,-7574,-9433,-61052,816534
2024-04-08,Product_4,North,816534,142623,135450,7173,-32890,-459,-33349,2299,-9789,-7490,-33666,782868
2024-04-08,Product_9,North,782868,82693,155259,-72566,-8627,5939,-2688,28925,-5450,23475,-51779,731089
