date,test_id,abcd,category,region,warehouse,batch_id,current_stock,avg_daily_sales,lead_time_days,safety_stock,reorder_point,max_stock_level,expiry_date,last_sale_date,supplier_id,supplier_reliability,inward_qty,outward_qty,adjustment_qty,aging_bucket,unit_cost,total_stock_value
2025-01-01,P029,Product_P029,Syrup,West,WH1,25e1903a,330,30.2456577393779,14,68.7655993144494,492.204807665739,988,2025-04-28,2024-09-07,S4,0.888757657155167,308,257,37,90+,11.4046164232355,3763.52341966773
2025-01-01,P021,Product_P021,Tablet,West,WH2,0e48da66,474,26.7130651499797,16,46.6837398409138,474.092782240588,732,2025-07-19,2024-10-02,S16,0.726275866014518,445,50,4,60-90,23.871381769151,11315.0349585776
2025-01-01,P037,Product_P037,Syrup,East,WH1,1650e00a,315,23.0744633465076,6,66.3927369264243,204.83951700547,528,2025-09-29,2024-12-24,S2,0.827644223184484,454,263,-4,30-60,45.5566997018603,14350.360406086
2025-01-01,P036,Product_P036,Capsule,West,WH2,ec2fb1a3,1845,21.832637850071,10,69.5771480013229,287.903526502033,2521,2025-08-09,2024-12-15,S12,0.959499931624018,269,350,-3,0-30,5.33613260054406,9845.16464800378
2025-01-01,P023,Product_P023,Injection,North,WH2,2f229cd9,1076,16.9411862074,17,60.0594429790389,348.059608504838,2067,2025-09-04,2024-11-03,S13,0.932637124418672,64,344,20,0-30,38.8399936955362,41791.833216397
2025-01-01,P044,Product_P044,Syrup,East,WH1,7f65a0a3,1796,35.8557556846838,7,102.531576108594,353.521865901381,2485,2025-09-18,2024-11-22,S7,0.830340695500079,32,47,-28,60-90,16.9339827793106,30413.4330716418
2025-01-01,P035,Product_P035,Injection,West,WH2,d955f124,1966,44.47342438624,5,56.2968510127637,278.663972943964,2627,2025-06-10,2025-01-01,S5,0.923580482186823,358,282,-42,0-30,6.43365021977974,12648.556332087
2025-01-01,P013,Product_P013,Syrup,East,WH3,45654456,1757,24.2931409359235,17,125.31084003021,538.294235940909,2441,2025-09-18,2024-09-15,S15,0.76635146799257,159,326,8,60-90,44.1429241117476,77559.1176643406
2025-01-01,P042,Product_P042,Topical,South,WH1,a5b71a4a,1579,6.16921873168326,16,41.6021344886888,140.309634195621,2118,2025-11-12,2024-11-01,S11,0.735405506863195,472,230,11,90+,12.1688229645551,19214.5714610326
2025-01-01,P013,Product_P013,Tablet,East,WH3,640540d7,1700,9.06813680400414,15,36.3130456863046,172.335097746367,2124,2025-12-03,2024-09-18,S12,0.74880440223015,159,95,37,90+,18.8178505165854,31990.3458781952
2025-01-01,P049,Product_P049,Capsule,West,WH2,baa97a58,1648,35.1189093691496,7,54.1694872204793,300.001852804527,1928,2025-08-05,2024-09-11,S2,0.714928837862497,484,223,46,90+,12.7385326426817,20993.1017951394
2025-01-01,P002,Product_P002,Topical,West,WH2,764bf5c7,202,49.2968722514194,11,200.016952427425,742.282547193039,585,2025-06-02,2024-12-16,S6,0.883368690872138,197,394,-35,90+,8.38515965430604,1693.80225016982
2025-01-01,P006,Product_P006,Topical,East,WH3,39b00b62,146,11.7918113307119,14,50.3241623354978,215.409520965464,493,2025-08-17,2024-11-11,S9,0.812153250427156,337,359,-50,0-30,17.7122512014627,2585.98867541355
2025-01-01,P025,Product_P025,Capsule,East,WH3,76ec2c1c,143,43.9896283156681,7,58.9434652500906,366.870863459767,688,2025-05-22,2024-09-08,S17,0.726999802663711,139,36,-19,0-30,14.6646962770169,2097.05156761342
2025-01-01,P019,Product_P019,Syrup,West,WH2,458431f4,1648,39.2139017470236,12,207.224160098267,677.79098106255,2267,2025-05-14,2024-10-10,S3,0.972638698312756,152,348,-33,90+,15.9628291568753,26306.7424505305
2025-01-01,P002,Product_P002,Syrup,West,WH1,1476142,397,11.9891961635674,5,6.42801624201229,66.3739970598494,873,2025-11-30,2024-12-13,S8,0.8907077387671,32,175,25,90+,32.1802982911089,12775.5784215702
2025-01-02,P030,Product_P030,Topical,East,WH2,978ef9ce,797,45.3988405982092,15,284.599330948166,965.581939921304,1605,2025-11-11,2024-09-14,S1,0.909511113425836,146,3,-16,30-60,3.13658481596725,2499.8580983259
2025-01-02,P044,Product_P044,Injection,South,WH1,24e388c0,1768,14.6984567480412,10,36.4615033305043,183.446070810916,2004,2025-11-07,2024-10-02,S17,0.865964816059543,187,115,12,90+,42.705696904326,75503.6721268484
2025-01-02,P003,Product_P003,Capsule,North,WH2,12a709ed,685,46.8715839338783,14,309.731845450862,965.934020525157,1676,2025-05-25,2024-12-02,S15,0.740624364418592,154,385,39,0-30,42.584819951309,29170.6016666467
2025-01-02,P009,Product_P009,Syrup,South,WH3,4a7c843a,1841,15.3860003689602,11,45.3430934193814,214.589097477943,2448,2025-02-13,2024-11-04,S7,0.931505601900365,320,263,-35,90+,44.6102617490608,82127.4918800208
