date,product,region,seasonality_factor,promotion,stockout,shock_event,units_sold,price_per_unit,revenue
2024-07-12,Product_2,West,1.0,1,0,0,455,335.8,152789.0
2025-06-10,Product_7,East,1.0,0,0,0,76,457.26,34751.76
2024-12-27,Product_6,South,1.3,1,0,0,296,364.09,107770.64
2024-07-16,Product_4,West,1.0,0,0,0,293,216.93,63560.490000000005
2024-06-11,Product_7,East,1.0,0,0,0,78,131.57,10262.46
2026-03-02,Product_4,East,1.0,0,0,0,197,466.09,91819.73
2024-04-21,Product_2,South,1.0,0,0,0,74,96.62,7149.88
2025-12-06,Product_10,West,1.3,0,0,0,154,294.34,45328.35999999999
2024-07-31,Product_7,East,1.0,0,0,0,112,191.3,21425.600000000002
2025-07-11,Product_8,East,1.0,0,0,0,213,172.14,36665.82
2024-11-01,Product_2,East,1.3,1,0,0,546,340.63,185983.98
2025-02-25,Product_5,South,1.3,0,0,0,258,154.06,39747.48
2025-07-03,Product_1,West,1.0,0,0,0,273,462.36,126224.28
2024-06-27,Product_7,West,1.0,1,0,0,157,232.72,36537.04
2025-04-08,Product_8,West,1.0,0,0,0,195,354.82,69189.9
2024-07-09,Product_6,West,1.0,0,0,0,246,377.49,92862.54000000001
2026-01-24,Product_5,North,1.3,0,0,0,300,357.32,107196.0
2024-08-09,Product_6,North,1.0,0,0,0,149,456.53,68022.97
2026-01-22,Product_2,West,1.3,0,0,0,102,154.01,15709.019999999999
2025-02-03,Product_1,South,1.3,1,0,0,305,88.72,27059.6
2025-03-10,Product_7,North,1.0,0,0,0,68,74.96,5097.28
2025-08-05,Product_7,East,1.0,0,0,0,264,445.03,117487.92
2025-05-19,Product_10,North,1.0,0,1,1,75,487.98,36598.5
2025-04-21,Product_10,East,1.0,0,0,0,190,186.14,35366.6
2024-10-09,Product_2,West,1.0,0,0,0,220,362.08,79657.59999999999
2025-01-02,Product_2,North,1.3,0,0,0,144,54.01,7777.44
2024-09-08,Product_1,South,1.0,0,0,0,167,134.88,22524.96
2025-07-04,Product_10,North,1.0,0,0,0,270,360.17,97245.90000000001
2025-02-08,Product_8,North,1.3,0,0,0,193,79.65,15372.45
2024-04-22,Product_8,North,1.0,0,0,0,71,260.83,18518.93
2024-12-09,Product_1,West,1.3,0,0,0,297,348.16,103403.52
2025-10-13,Product_8,South,1.0,0,1,0,68,394.68,26838.24
2025-07-19,Product_9,North,1.0,0,1,0,48,254.22,12202.56
2024-05-29,Product_4,South,1.0,1,0,0,517,333.63,172486.71
2025-08-24,Product_1,West,1.0,0,0,0,122,292.81,35722.82
2026-02-11,Product_1,East,1.3,0,0,0,364,73.54,26768.56
2025-07-20,Product_3,North,1.0,0,1,0,87,384.26,33430.62
2026-03-01,Product_5,South,1.0,0,0,0,196,127.56,25001.760000000002
2024-10-07,Product_5,South,1.0,1,0,0,213,64.31,13698.03
2026-02-16,Product_9,West,1.3,0,1,0,46,253.03,11639.38
2025-10-15,Product_10,North,1.0,1,0,0,383,439.54,168343.82
2025-10-19,Product_2,East,1.0,0,0,0,288,117.87,33946.56
2024-11-30,Product_2,South,1.3,0,0,0,166,55.79,9261.14
2025-08-18,Product_6,North,1.0,1,1,0,147,99.49,14625.029999999999
2024-08-09,Product_9,East,1.0,0,0,0,197,213.65,42089.05
2025-07-29,Product_1,South,1.0,0,0,0,58,311.08,18042.64
2026-01-07,Product_9,South,1.3,0,0,0,105,136.86,14370.300000000001
2024-04-21,Product_9,East,1.0,1,0,0,412,410.88,169282.56
2024-09-14,Product_9,East,1.0,1,0,0,221,388.98,85964.58
2024-12-30,Product_5,West,1.3,0,0,0,170,363.14,61733.799999999996
